Optimizers: SGD Adam 
Learning Rates: 0.01 0.0001 
Epoch & Fidelity & KL & Runtime 
1 0.418984 1.18187 36.233375
2 0.52571 0.899681 72.360256
3 0.626948 0.657851 108.635859
4 0.702827 0.497728 144.845201
5 0.755259 0.400517 181.13603
6 0.78135 0.358144 217.438561
7 0.802478 0.323807 254.001167
8 0.81675 0.308306 290.380285
9 0.831907 0.280322 326.958147
10 0.826039 0.2993 363.340752
11 0.851797 0.250005 399.92545
12 0.81916 0.33727 436.60927
13 0.872515 0.217482 473.086994
14 0.872235 0.226608 509.831234
15 0.884039 0.205534 546.60483
16 0.891564 0.194293 583.459193
17 0.896229 0.185306 620.043648
18 0.874363 0.239183 657.250527
19 0.879797 0.226884 694.229906
20 0.904062 0.177685 730.913079
21 0.895142 0.19459 767.932534
22 0.902042 0.18878 804.674397

Epoch & Fidelity & KL & Runtime 
1 0.097817 2.913373 38.751221
2 0.146921 2.415361 77.253953
3 0.179232 2.177354 115.5284
4 0.207857 1.987138 154.500069
5 0.235571 1.838218 193.162955
6 0.260769 1.713572 231.817885
7 0.284769 1.60387 270.534909
8 0.308192 1.504054 308.899863
9 0.331283 1.416021 348.062124
10 0.353426 1.336852 386.389044
11 0.372884 1.271941 425.176158
12 0.391315 1.215232 463.535435
13 0.408504 1.164362 502.814994
14 0.425278 1.119216 541.723721
15 0.440313 1.07998 580.150433
16 0.454723 1.042596 619.050329
17 0.468547 1.009653 657.943416
18 0.482032 0.979046 696.872001
19 0.493131 0.951253 735.875937
20 0.503907 0.928149 774.942241
21 0.515045 0.901711 813.97432

