Optimizers: SGD Adam 
Learning Rates: 0.001 0.01 
Epoch & Fidelity & KL & Runtime 
1 0.425816 1.065008 0.796816
2 0.450967 0.980908 1.546885
3 0.461778 0.944923 2.359438
4 0.469243 0.920565 3.125113
5 0.476194 0.899935 3.859545
6 0.483294 0.88003 4.60949
7 0.489436 0.860285 5.375169
8 0.49682 0.8403 6.125224
9 0.504773 0.820191 6.890904
10 0.51245 0.800479 7.640851
11 0.520394 0.780399 8.375281
12 0.528585 0.760501 9.125335
13 0.536716 0.74088 9.891018
14 0.544635 0.721561 10.687835
15 0.553267 0.702656 11.453512
16 0.561541 0.684485 12.219189
17 0.570519 0.666639 12.953638
18 0.579138 0.649374 13.703569
19 0.587365 0.63269 14.453643
20 0.595493 0.616826 15.219305

Epoch & Fidelity & KL & Runtime 
1 0.792439 0.308693 0.859422
2 0.830003 0.273607 1.70322
3 0.895427 0.142245 2.531413
4 0.89948 0.182386 3.390708
5 0.951827 0.069976 4.25014
6 0.966664 0.049171 5.093946
7 0.965624 0.055022 5.953368
8 0.962617 0.066128 6.797168
9 0.975037 0.041442 7.609733
10 0.983843 0.028632 8.469159
11 0.942659 0.123778 9.312851
12 0.970395 0.06163 10.156657
13 0.963173 0.073912 11.031594
14 0.987127 0.023711 11.875673
15 0.948091 0.103683 12.703856
16 0.975342 0.050325 13.563281
17 0.942988 0.120664 14.422597
18 0.960473 0.076167 15.266289

